Data_venda;Canal;ProductKey;Cod_Produto;Desc_Produto;Classe_Produto;Custo_Unit;Preco_Unit;Qtd_Venda;Qtd_Devolução;Valor_Devolução;Qtd_Desconto;Valor_Desconto;Custo_Total;Vendas_Total
01/01/15;Loja;9;101009;Produto 4G MP3 Player E400 Black;Econômico;R$ 30,58;R$ 59,99;8;0;R$ 0,00;4;R$ 47,99;R$ 244,64;R$ 431,93
01/01/15;Online;12;101012;Produto 4GB  MP3 Player E401 Blue;Econômico;R$ 35,72;R$ 77,68;16;0;R$ 0,00;3;R$ 46,61;R$ 571,52;R$ 1.196,27
01/01/15;Loja;12;101012;Produto 4GB  MP3 Player E401 Blue;Econômico;R$ 35,72;R$ 77,68;9;0;R$ 0,00;1;R$ 3,88;R$ 321,48;R$ 695,24
01/01/15;Loja;14;101014;Produto 4GB  MP3 Player E401 Silver;Econômico;R$ 35,72;R$ 77,68;8;0;R$ 0,00;2;R$ 31,07;R$ 285,76;R$ 590,37
01/01/15;Loja;14;101014;Produto 4GB  MP3 Player E401 Silver;Econômico;R$ 35,72;R$ 77,68;9;0;R$ 0,00;4;R$ 15,54;R$ 321,48;R$ 683,58
01/01/15;Catálogo;14;101014;Produto 4GB  MP3 Player E401 Silver;Econômico;R$ 35,72;R$ 77,68;9;0;R$ 0,00;1;R$ 3,88;R$ 321,48;R$ 695,24
01/01/15;Online;15;101015;Produto 4GB  MP3 Player E401 White;Econômico;R$ 35,72;R$ 77,68;8;0;R$ 0,00;4;R$ 62,14;R$ 285,76;R$ 559,30
01/01/15;Loja;34;101034;Produto 4GB Portable MP3 Player M450 Black;Regular;R$ 48,92;R$ 95,95;9;0;R$ 0,00;4;R$ 19,19;R$ 440,28;R$ 844,36
02/01/15;Revendedor;1;101001;Produto 512MB MP3 Player E51 Silver;Econômico;R$ 6,62;R$ 12,99;9;0;R$ 0,00;3;R$ 1,95;R$ 59,58;R$ 114,96
02/01/15;Loja;1;101001;Produto 512MB MP3 Player E51 Silver;Econômico;R$ 6,62;R$ 12,99;9;0;R$ 0,00;2;R$ 1,30;R$ 59,58;R$ 115,61
02/01/15;Loja;2;101002;Produto 512MB MP3 Player E51 Blue;Econômico;R$ 6,62;R$ 12,99;8;1;R$ 12,99;2;R$ 5,20;R$ 46,34;R$ 98,72
02/01/15;Loja;2;101002;Produto 512MB MP3 Player E51 Blue;Econômico;R$ 6,62;R$ 12,99;9;0;R$ 0,00;3;R$ 1,95;R$ 59,58;R$ 114,96
02/01/15;Revendedor;3;101003;Produto 1G MP3 Player E100 White;Econômico;R$ 7,40;R$ 14,52;8;0;R$ 0,00;2;R$ 5,81;R$ 59,20;R$ 110,35
02/01/15;Loja;4;101004;Produto 2G MP3 Player E200 Silver;Econômico;R$ 11,00;R$ 21,57;9;0;R$ 0,00;1;R$ 1,08;R$ 99,00;R$ 193,05
02/01/15;Loja;5;101005;Produto 2G MP3 Player E200 Red;Econômico;R$ 11,00;R$ 21,57;9;0;R$ 0,00;2;R$ 2,16;R$ 99,00;R$ 191,97
02/01/15;Online;5;101005;Produto 2G MP3 Player E200 Red;Econômico;R$ 11,00;R$ 21,57;8;0;R$ 0,00;1;R$ 4,31;R$ 88,00;R$ 168,25
02/01/15;Loja;6;101006;Produto 2G MP3 Player E200 Black;Econômico;R$ 11,00;R$ 21,57;8;1;R$ 21,57;3;R$ 12,94;R$ 77,00;R$ 159,62
02/01/15;Loja;7;101007;Produto 2G MP3 Player E200 Blue;Econômico;R$ 11,00;R$ 21,57;9;0;R$ 0,00;2;R$ 2,16;R$ 99,00;R$ 191,97
02/01/15;Loja;8;101008;Produto 4G MP3 Player E400 Silver;Econômico;R$ 30,58;R$ 59,99;9;0;R$ 0,00;1;R$ 3,00;R$ 275,22;R$ 536,91
02/01/15;Loja;8;101008;Produto 4G MP3 Player E400 Silver;Econômico;R$ 30,58;R$ 59,99;9;0;R$ 0,00;1;R$ 3,00;R$ 275,22;R$ 536,91
02/01/15;Loja;12;101012;Produto 4GB  MP3 Player E401 Blue;Econômico;R$ 35,72;R$ 77,68;9;0;R$ 0,00;0;R$ 0,00;R$ 321,48;R$ 699,12
02/01/15;Loja;12;101012;Produto 4GB  MP3 Player E401 Blue;Econômico;R$ 35,72;R$ 77,68;9;0;R$ 0,00;4;R$ 15,54;R$ 321,48;R$ 683,58
02/01/15;Loja;13;101013;Produto 4GB  MP3 Player E401 Black;Econômico;R$ 35,72;R$ 77,68;13;0;R$ 0,00;1;R$ 11,65;R$ 464,36;R$ 998,19
02/01/15;Loja;13;101013;Produto 4GB  MP3 Player E401 Black;Econômico;R$ 35,72;R$ 77,68;9;0;R$ 0,00;2;R$ 7,77;R$ 321,48;R$ 691,35
02/01/15;Online;14;101014;Produto 4GB  MP3 Player E401 Silver;Econômico;R$ 35,72;R$ 77,68;18;0;R$ 0,00;2;R$ 7,77;R$ 642,96;R$ 1.390,47
02/01/15;Loja;14;101014;Produto 4GB  MP3 Player E401 Silver;Econômico;R$ 35,72;R$ 77,68;9;0;R$ 0,00;3;R$ 11,65;R$ 321,48;R$ 687,47
02/01/15;Loja;34;101034;Produto 4GB Portable MP3 Player M450 Black;Regular;R$ 48,92;R$ 95,95;9;1;R$ 95,95;1;R$ 4,80;R$ 391,36;R$ 858,75
03/01/15;Loja;1;101001;Produto 512MB MP3 Player E51 Silver;Econômico;R$ 6,62;R$ 12,99;8;0;R$ 0,00;3;R$ 7,79;R$ 52,96;R$ 96,13
03/01/15;Online;1;101001;Produto 512MB MP3 Player E51 Silver;Econômico;R$ 6,62;R$ 12,99;18;0;R$ 0,00;3;R$ 1,95;R$ 119,16;R$ 231,87
03/01/15;Revendedor;1;101001;Produto 512MB MP3 Player E51 Silver;Econômico;R$ 6,62;R$ 12,99;16;0;R$ 0,00;6;R$ 15,59;R$ 105,92;R$ 192,25
03/01/15;Loja;2;101002;Produto 512MB MP3 Player E51 Blue;Econômico;R$ 6,62;R$ 12,99;9;0;R$ 0,00;0;R$ 0,00;R$ 59,58;R$ 116,91
03/01/15;Online;2;101002;Produto 512MB MP3 Player E51 Blue;Econômico;R$ 6,62;R$ 12,99;13;0;R$ 0,00;2;R$ 3,90;R$ 86,06;R$ 164,97
03/01/15;Loja;3;101003;Produto 1G MP3 Player E100 White;Econômico;R$ 7,40;R$ 14,52;9;0;R$ 0,00;0;R$ 0,00;R$ 66,60;R$ 130,68
03/01/15;Revendedor;3;101003;Produto 1G MP3 Player E100 White;Econômico;R$ 7,40;R$ 14,52;13;0;R$ 0,00;2;R$ 4,36;R$ 96,20;R$ 184,40
03/01/15;Loja;3;101003;Produto 1G MP3 Player E100 White;Econômico;R$ 7,40;R$ 14,52;9;1;R$ 14,52;1;R$ 0,73;R$ 59,20;R$ 129,95
03/01/15;Loja;3;101003;Produto 1G MP3 Player E100 White;Econômico;R$ 7,40;R$ 14,52;9;1;R$ 14,52;2;R$ 1,45;R$ 59,20;R$ 129,23
03/01/15;Loja;4;101004;Produto 2G MP3 Player E200 Silver;Econômico;R$ 11,00;R$ 21,57;9;0;R$ 0,00;1;R$ 1,08;R$ 99,00;R$ 193,05
03/01/15;Loja;5;101005;Produto 2G MP3 Player E200 Red;Econômico;R$ 11,00;R$ 21,57;13;0;R$ 0,00;3;R$ 9,71;R$ 143,00;R$ 270,70
03/01/15;Loja;5;101005;Produto 2G MP3 Player E200 Red;Econômico;R$ 11,00;R$ 21,57;9;0;R$ 0,00;2;R$ 2,16;R$ 99,00;R$ 191,97
03/01/15;Loja;6;101006;Produto 2G MP3 Player E200 Black;Econômico;R$ 11,00;R$ 21,57;9;0;R$ 0,00;1;R$ 1,08;R$ 99,00;R$ 193,05
03/01/15;Revendedor;8;101008;Produto 4G MP3 Player E400 Silver;Econômico;R$ 30,58;R$ 59,99;18;0;R$ 0,00;5;R$ 15,00;R$ 550,44;R$ 1.064,82
03/01/15;Online;8;101008;Produto 4G MP3 Player E400 Silver;Econômico;R$ 30,58;R$ 59,99;8;0;R$ 0,00;3;R$ 35,99;R$ 244,64;R$ 443,93
03/01/15;Online;9;101009;Produto 4G MP3 Player E400 Black;Econômico;R$ 30,58;R$ 59,99;9;0;R$ 0,00;4;R$ 12,00;R$ 275,22;R$ 527,91
03/01/15;Loja;9;101009;Produto 4G MP3 Player E400 Black;Econômico;R$ 30,58;R$ 59,99;9;0;R$ 0,00;0;R$ 0,00;R$ 275,22;R$ 539,91
03/01/15;Online;11;101011;Produto 4G MP3 Player E400 Orange;Econômico;R$ 30,58;R$ 59,99;26;0;R$ 0,00;7;R$ 62,99;R$ 795,08;R$ 1.496,75
03/01/15;Loja;12;101012;Produto 4GB  MP3 Player E401 Blue;Econômico;R$ 35,72;R$ 77,68;13;0;R$ 0,00;4;R$ 46,61;R$ 464,36;R$ 963,23
03/01/15;Loja;12;101012;Produto 4GB  MP3 Player E401 Blue;Econômico;R$ 35,72;R$ 77,68;13;0;R$ 0,00;2;R$ 23,30;R$ 464,36;R$ 986,54
03/01/15;Online;13;101013;Produto 4GB  MP3 Player E401 Black;Econômico;R$ 35,72;R$ 77,68;18;0;R$ 0,00;7;R$ 27,19;R$ 642,96;R$ 1.371,05
03/01/15;Loja;14;101014;Produto 4GB  MP3 Player E401 Silver;Econômico;R$ 35,72;R$ 77,68;9;0;R$ 0,00;3;R$ 11,65;R$ 321,48;R$ 687,47
03/01/15;Loja;14;101014;Produto 4GB  MP3 Player E401 Silver;Econômico;R$ 35,72;R$ 77,68;13;0;R$ 0,00;0;R$ 0,00;R$ 464,36;R$ 1.009,84
03/01/15;Catálogo;15;101015;Produto 4GB  MP3 Player E401 White;Econômico;R$ 35,72;R$ 77,68;18;0;R$ 0,00;3;R$ 11,65;R$ 642,96;R$ 1.386,59
04/01/15;Loja;4;101004;Produto 2G MP3 Player E200 Silver;Econômico;R$ 11,00;R$ 21,57;9;0;R$ 0,00;0;R$ 0,00;R$ 99,00;R$ 194,13
04/01/15;Loja;4;101004;Produto 2G MP3 Player E200 Silver;Econômico;R$ 11,00;R$ 21,57;9;1;R$ 21,57;1;R$ 1,08;R$ 88,00;R$ 193,05
04/01/15;Loja;5;101005;Produto 2G MP3 Player E200 Red;Econômico;R$ 11,00;R$ 21,57;9;0;R$ 0,00;0;R$ 0,00;R$ 99,00;R$ 194,13
04/01/15;Loja;5;101005;Produto 2G MP3 Player E200 Red;Econômico;R$ 11,00;R$ 21,57;9;0;R$ 0,00;2;R$ 2,16;R$ 99,00;R$ 191,97
04/01/15;Loja;6;101006;Produto 2G MP3 Player E200 Black;Econômico;R$ 11,00;R$ 21,57;8;1;R$ 21,57;1;R$ 4,31;R$ 77,00;R$ 168,25
04/01/15;Loja;7;101007;Produto 2G MP3 Player E200 Blue;Econômico;R$ 11,00;R$ 21,57;9;0;R$ 0,00;0;R$ 0,00;R$ 99,00;R$ 194,13
04/01/15;Loja;7;101007;Produto 2G MP3 Player E200 Blue;Econômico;R$ 11,00;R$ 21,57;9;0;R$ 0,00;0;R$ 0,00;R$ 99,00;R$ 194,13
04/01/15;Loja;7;101007;Produto 2G MP3 Player E200 Blue;Econômico;R$ 11,00;R$ 21,57;9;0;R$ 0,00;3;R$ 3,24;R$ 99,00;R$ 190,89
04/01/15;Loja;7;101007;Produto 2G MP3 Player E200 Blue;Econômico;R$ 11,00;R$ 21,57;13;0;R$ 0,00;0;R$ 0,00;R$ 143,00;R$ 280,41
04/01/15;Revendedor;8;101008;Produto 4G MP3 Player E400 Silver;Econômico;R$ 30,58;R$ 59,99;9;1;R$ 59,99;3;R$ 9,00;R$ 244,64;R$ 530,91
04/01/15;Loja;8;101008;Produto 4G MP3 Player E400 Silver;Econômico;R$ 30,58;R$ 59,99;8;0;R$ 0,00;3;R$ 35,99;R$ 244,64;R$ 443,93
04/01/15;Loja;12;101012;Produto 4GB  MP3 Player E401 Blue;Econômico;R$ 35,72;R$ 77,68;13;0;R$ 0,00;3;R$ 34,96;R$ 464,36;R$ 974,88
04/01/15;Online;12;101012;Produto 4GB  MP3 Player E401 Blue;Econômico;R$ 35,72;R$ 77,68;8;0;R$ 0,00;1;R$ 15,54;R$ 285,76;R$ 605,90
04/01/15;Loja;13;101013;Produto 4GB  MP3 Player E401 Black;Econômico;R$ 35,72;R$ 77,68;9;0;R$ 0,00;0;R$ 0,00;R$ 321,48;R$ 699,12
04/01/15;Loja;13;101013;Produto 4GB  MP3 Player E401 Black;Econômico;R$ 35,72;R$ 77,68;9;0;R$ 0,00;4;R$ 15,54;R$ 321,48;R$ 683,58
04/01/15;Loja;13;101013;Produto 4GB  MP3 Player E401 Black;Econômico;R$ 35,72;R$ 77,68;8;0;R$ 0,00;1;R$ 15,54;R$ 285,76;R$ 605,90
04/01/15;Revendedor;13;101013;Produto 4GB  MP3 Player E401 Black;Econômico;R$ 35,72;R$ 77,68;13;0;R$ 0,00;4;R$ 46,61;R$ 464,36;R$ 963,23
04/01/15;Loja;14;101014;Produto 4GB  MP3 Player E401 Silver;Econômico;R$ 35,72;R$ 77,68;9;0;R$ 0,00;0;R$ 0,00;R$ 321,48;R$ 699,12
04/01/15;Loja;15;101015;Produto 4GB  MP3 Player E401 White;Econômico;R$ 35,72;R$ 77,68;9;0;R$ 0,00;0;R$ 0,00;R$ 321,48;R$ 699,12
04/01/15;Loja;15;101015;Produto 4GB  MP3 Player E401 White;Econômico;R$ 35,72;R$ 77,68;13;0;R$ 0,00;4;R$ 46,61;R$ 464,36;R$ 963,23
04/01/15;Loja;34;101034;Produto 4GB Portable MP3 Player M450 Black;Regular;R$ 48,92;R$ 95,95;8;0;R$ 0,00;2;R$ 38,38;R$ 391,36;R$ 729,22
05/01/15;Revendedor;1;101001;Produto 512MB MP3 Player E51 Silver;Econômico;R$ 6,62;R$ 12,99;13;0;R$ 0,00;0;R$ 0,00;R$ 86,06;R$ 168,87
05/01/15;Revendedor;1;101001;Produto 512MB MP3 Player E51 Silver;Econômico;R$ 6,62;R$ 12,99;8;0;R$ 0,00;2;R$ 5,20;R$ 52,96;R$ 98,72
05/01/15;Loja;2;101002;Produto 512MB MP3 Player E51 Blue;Econômico;R$ 6,62;R$ 12,99;9;0;R$ 0,00;4;R$ 2,60;R$ 59,58;R$ 114,31
05/01/15;Loja;3;101003;Produto 1G MP3 Player E100 White;Econômico;R$ 7,40;R$ 14,52;9;0;R$ 0,00;4;R$ 2,90;R$ 66,60;R$ 127,78
05/01/15;Loja;3;101003;Produto 1G MP3 Player E100 White;Econômico;R$ 7,40;R$ 14,52;9;0;R$ 0,00;4;R$ 2,90;R$ 66,60;R$ 127,78
05/01/15;Loja;4;101004;Produto 2G MP3 Player E200 Silver;Econômico;R$ 11,00;R$ 21,57;9;0;R$ 0,00;4;R$ 4,31;R$ 99,00;R$ 189,82
05/01/15;Loja;4;101004;Produto 2G MP3 Player E200 Silver;Econômico;R$ 11,00;R$ 21,57;9;0;R$ 0,00;2;R$ 2,16;R$ 99,00;R$ 191,97
05/01/15;Loja;4;101004;Produto 2G MP3 Player E200 Silver;Econômico;R$ 11,00;R$ 21,57;9;0;R$ 0,00;2;R$ 2,16;R$ 99,00;R$ 191,97
05/01/15;Loja;4;101004;Produto 2G MP3 Player E200 Silver;Econômico;R$ 11,00;R$ 21,57;9;0;R$ 0,00;4;R$ 4,31;R$ 99,00;R$ 189,82
05/01/15;Loja;5;101005;Produto 2G MP3 Player E200 Red;Econômico;R$ 11,00;R$ 21,57;13;0;R$ 0,00;3;R$ 9,71;R$ 143,00;R$ 270,70
05/01/15;Online;6;101006;Produto 2G MP3 Player E200 Black;Econômico;R$ 11,00;R$ 21,57;26;0;R$ 0,00;6;R$ 19,41;R$ 286,00;R$ 541,41
05/01/15;Loja;6;101006;Produto 2G MP3 Player E200 Black;Econômico;R$ 11,00;R$ 21,57;9;1;R$ 21,57;4;R$ 4,31;R$ 88,00;R$ 189,82
05/01/15;Online;7;101007;Produto 2G MP3 Player E200 Blue;Econômico;R$ 11,00;R$ 21,57;18;1;R$ 21,57;4;R$ 4,31;R$ 187,00;R$ 383,95
05/01/15;Loja;7;101007;Produto 2G MP3 Player E200 Blue;Econômico;R$ 11,00;R$ 21,57;9;0;R$ 0,00;1;R$ 1,08;R$ 99,00;R$ 193,05
05/01/15;Revendedor;8;101008;Produto 4G MP3 Player E400 Silver;Econômico;R$ 30,58;R$ 59,99;16;0;R$ 0,00;4;R$ 47,99;R$ 489,28;R$ 911,85
05/01/15;Catálogo;8;101008;Produto 4G MP3 Player E400 Silver;Econômico;R$ 30,58;R$ 59,99;9;0;R$ 0,00;0;R$ 0,00;R$ 275,22;R$ 539,91
05/01/15;Loja;8;101008;Produto 4G MP3 Player E400 Silver;Econômico;R$ 30,58;R$ 59,99;13;0;R$ 0,00;3;R$ 27,00;R$ 397,54;R$ 752,87
05/01/15;Loja;9;101009;Produto 4G MP3 Player E400 Black;Econômico;R$ 30,58;R$ 59,99;9;0;R$ 0,00;1;R$ 3,00;R$ 275,22;R$ 536,91
05/01/15;Loja;9;101009;Produto 4G MP3 Player E400 Black;Econômico;R$ 30,58;R$ 59,99;9;0;R$ 0,00;3;R$ 9,00;R$ 275,22;R$ 530,91
05/01/15;Catálogo;9;101009;Produto 4G MP3 Player E400 Black;Econômico;R$ 30,58;R$ 59,99;9;0;R$ 0,00;1;R$ 3,00;R$ 275,22;R$ 536,91
05/01/15;Revendedor;9;101009;Produto 4G MP3 Player E400 Black;Econômico;R$ 30,58;R$ 59,99;8;0;R$ 0,00;1;R$ 12,00;R$ 244,64;R$ 467,92
05/01/15;Online;9;101009;Produto 4G MP3 Player E400 Black;Econômico;R$ 30,58;R$ 59,99;8;0;R$ 0,00;1;R$ 12,00;R$ 244,64;R$ 467,92
05/01/15;Loja;9;101009;Produto 4G MP3 Player E400 Black;Econômico;R$ 30,58;R$ 59,99;8;0;R$ 0,00;2;R$ 24,00;R$ 244,64;R$ 455,92
05/01/15;Revendedor;9;101009;Produto 4G MP3 Player E400 Black;Econômico;R$ 30,58;R$ 59,99;18;0;R$ 0,00;3;R$ 9,00;R$ 550,44;R$ 1.070,82
05/01/15;Loja;11;101011;Produto 4G MP3 Player E400 Orange;Econômico;R$ 30,58;R$ 59,99;9;0;R$ 0,00;1;R$ 3,00;R$ 275,22;R$ 536,91
05/01/15;Loja;11;101011;Produto 4G MP3 Player E400 Orange;Econômico;R$ 30,58;R$ 59,99;9;0;R$ 0,00;2;R$ 6,00;R$ 275,22;R$ 533,91
05/01/15;Loja;13;101013;Produto 4GB  MP3 Player E401 Black;Econômico;R$ 35,72;R$ 77,68;13;0;R$ 0,00;0;R$ 0,00;R$ 464,36;R$ 1.009,84
05/01/15;Loja;13;101013;Produto 4GB  MP3 Player E401 Black;Econômico;R$ 35,72;R$ 77,68;9;0;R$ 0,00;0;R$ 0,00;R$ 321,48;R$ 699,12
05/01/15;Revendedor;13;101013;Produto 4GB  MP3 Player E401 Black;Econômico;R$ 35,72;R$ 77,68;13;0;R$ 0,00;0;R$ 0,00;R$ 464,36;R$ 1.009,84
05/01/15;Loja;14;101014;Produto 4GB  MP3 Player E401 Silver;Econômico;R$ 35,72;R$ 77,68;13;0;R$ 0,00;0;R$ 0,00;R$ 464,36;R$ 1.009,84
05/01/15;Loja;34;101034;Produto 4GB Portable MP3 Player M450 Black;Regular;R$ 48,92;R$ 95,95;9;0;R$ 0,00;0;R$ 0,00;R$ 440,28;R$ 863,55
06/01/15;Online;3;101003;Produto 1G MP3 Player E100 White;Econômico;R$ 7,40;R$ 14,52;18;0;R$ 0,00;8;R$ 5,81;R$ 133,20;R$ 255,55
06/01/15;Loja;5;101005;Produto 2G MP3 Player E200 Red;Econômico;R$ 11,00;R$ 21,57;9;1;R$ 21,57;1;R$ 1,08;R$ 88,00;R$ 193,05
06/01/15;Loja;6;101006;Produto 2G MP3 Player E200 Black;Econômico;R$ 11,00;R$ 21,57;8;0;R$ 0,00;1;R$ 4,31;R$ 88,00;R$ 168,25
06/01/15;Loja;8;101008;Produto 4G MP3 Player E400 Silver;Econômico;R$ 30,58;R$ 59,99;9;0;R$ 0,00;4;R$ 12,00;R$ 275,22;R$ 527,91
06/01/15;Loja;8;101008;Produto 4G MP3 Player E400 Silver;Econômico;R$ 30,58;R$ 59,99;13;0;R$ 0,00;2;R$ 24,00;R$ 397,54;R$ 755,87
06/01/15;Loja;9;101009;Produto 4G MP3 Player E400 Black;Econômico;R$ 30,58;R$ 59,99;9;0;R$ 0,00;0;R$ 0,00;R$ 275,22;R$ 539,91
06/01/15;Revendedor;9;101009;Produto 4G MP3 Player E400 Black;Econômico;R$ 30,58;R$ 59,99;18;2;R$ 119,98;6;R$ 18,00;R$ 489,28;R$ 1.061,82
06/01/15;Revendedor;13;101013;Produto 4GB  MP3 Player E401 Black;Econômico;R$ 35,72;R$ 77,68;13;0;R$ 0,00;3;R$ 34,96;R$ 464,36;R$ 974,88
06/01/15;Loja;14;101014;Produto 4GB  MP3 Player E401 Silver;Econômico;R$ 35,72;R$ 77,68;9;0;R$ 0,00;0;R$ 0,00;R$ 321,48;R$ 699,12
06/01/15;Revendedor;14;101014;Produto 4GB  MP3 Player E401 Silver;Econômico;R$ 35,72;R$ 77,68;8;0;R$ 0,00;2;R$ 31,07;R$ 285,76;R$ 590,37
06/01/15;Loja;14;101014;Produto 4GB  MP3 Player E401 Silver;Econômico;R$ 35,72;R$ 77,68;13;0;R$ 0,00;4;R$ 46,61;R$ 464,36;R$ 963,23
06/01/15;Loja;15;101015;Produto 4GB  MP3 Player E401 White;Econômico;R$ 35,72;R$ 77,68;9;0;R$ 0,00;0;R$ 0,00;R$ 321,48;R$ 699,12
06/01/15;Loja;15;101015;Produto 4GB  MP3 Player E401 White;Econômico;R$ 35,72;R$ 77,68;9;0;R$ 0,00;4;R$ 15,54;R$ 321,48;R$ 683,58
06/01/15;Loja;34;101034;Produto 4GB Portable MP3 Player M450 Black;Regular;R$ 48,92;R$ 95,95;9;0;R$ 0,00;3;R$ 14,39;R$ 440,28;R$ 849,16
07/01/15;Loja;1;101001;Produto 512MB MP3 Player E51 Silver;Econômico;R$ 6,62;R$ 12,99;13;0;R$ 0,00;1;R$ 1,95;R$ 86,06;R$ 166,92
07/01/15;Revendedor;1;101001;Produto 512MB MP3 Player E51 Silver;Econômico;R$ 6,62;R$ 12,99;9;0;R$ 0,00;2;R$ 1,30;R$ 59,58;R$ 115,61
07/01/15;Loja;1;101001;Produto 512MB MP3 Player E51 Silver;Econômico;R$ 6,62;R$ 12,99;9;0;R$ 0,00;4;R$ 2,60;R$ 59,58;R$ 114,31
07/01/15;Loja;2;101002;Produto 512MB MP3 Player E51 Blue;Econômico;R$ 6,62;R$ 12,99;9;1;R$ 12,99;2;R$ 1,30;R$ 52,96;R$ 115,61
07/01/15;Loja;4;101004;Produto 2G MP3 Player E200 Silver;Econômico;R$ 11,00;R$ 21,57;13;0;R$ 0,00;2;R$ 6,47;R$ 143,00;R$ 273,94
07/01/15;Loja;5;101005;Produto 2G MP3 Player E200 Red;Econômico;R$ 11,00;R$ 21,57;9;0;R$ 0,00;4;R$ 4,31;R$ 99,00;R$ 189,82
07/01/15;Online;5;101005;Produto 2G MP3 Player E200 Red;Econômico;R$ 11,00;R$ 21,57;26;0;R$ 0,00;5;R$ 16,18;R$ 286,00;R$ 544,64
07/01/15;Loja;6;101006;Produto 2G MP3 Player E200 Black;Econômico;R$ 11,00;R$ 21,57;9;0;R$ 0,00;2;R$ 2,16;R$ 99,00;R$ 191,97
07/01/15;Loja;6;101006;Produto 2G MP3 Player E200 Black;Econômico;R$ 11,00;R$ 21,57;13;1;R$ 21,57;0;R$ 0,00;R$ 132,00;R$ 280,41
07/01/15;Loja;9;101009;Produto 4G MP3 Player E400 Black;Econômico;R$ 30,58;R$ 59,99;9;1;R$ 59,99;2;R$ 6,00;R$ 244,64;R$ 533,91
07/01/15;Loja;12;101012;Produto 4GB  MP3 Player E401 Blue;Econômico;R$ 35,72;R$ 77,68;13;0;R$ 0,00;3;R$ 34,96;R$ 464,36;R$ 974,88
07/01/15;Online;12;101012;Produto 4GB  MP3 Player E401 Blue;Econômico;R$ 35,72;R$ 77,68;26;0;R$ 0,00;3;R$ 34,96;R$ 928,72;R$ 1.984,72
07/01/15;Loja;14;101014;Produto 4GB  MP3 Player E401 Silver;Econômico;R$ 35,72;R$ 77,68;9;0;R$ 0,00;2;R$ 7,77;R$ 321,48;R$ 691,35
07/01/15;Online;14;101014;Produto 4GB  MP3 Player E401 Silver;Econômico;R$ 35,72;R$ 77,68;8;0;R$ 0,00;0;R$ 0,00;R$ 285,76;R$ 621,44
07/01/15;Loja;14;101014;Produto 4GB  MP3 Player E401 Silver;Econômico;R$ 35,72;R$ 77,68;9;0;R$ 0,00;1;R$ 3,88;R$ 321,48;R$ 695,24
07/01/15;Loja;14;101014;Produto 4GB  MP3 Player E401 Silver;Econômico;R$ 35,72;R$ 77,68;9;0;R$ 0,00;1;R$ 3,88;R$ 321,48;R$ 695,24
07/01/15;Loja;14;101014;Produto 4GB  MP3 Player E401 Silver;Econômico;R$ 35,72;R$ 77,68;9;0;R$ 0,00;2;R$ 7,77;R$ 321,48;R$ 691,35
